TOUS MOIS : écoulements mensuels naturels (1916 - 2019)

La Loire à Saumur
Code station;Producteur;Bassin versant (km²);E-mail
L8000020;DREAL Pays-de-Loire;81200;hydrometrie.dreal-pays-de-la-loire@developpement-durable.gouv.fr


Tableau des valeurs mensuelles et annuelles - Q(m3/s);QMAX;1655.57;

Validité;Année;Sept.;Validité;Oct.;Validité;Nov.;Validité;Déc.;Validité;Janv.;Validité;Fév.;Validité;Mars;Validité;Avril;Validité;Mai;Validité;Juin;Validité;Juil.;Validité;Août;Validité;Moy/Total
Station antérieure utilisée-Estimé;1952 - 53;118.53;;478.16;;1446.83;;2720.32;;1209.84;;925.36;;552.97;;452.07;;324;;261.23;;272.45;;140.71;;742.25
Station antérieure utilisée-Estimé;1953 - 54;124.37;;226.13;;330.2;;285.26;;398.42;;795.79;;1235.97;;960.63;;446.48;;280.3;;173.19;;185.71;;451.05
Station antérieure utilisée-Estimé;1954 - 55;298.7;;226.26;;263.77;;803.74;;2216.45;;2528.57;;964.68;;501.23;;223.16;;239.3;;199.77;;148.1;;707.22
Station antérieure utilisée-Estimé;1955 - 56;129.23;;124.87;;137.87;;205.81;;466.97;;566.48;;544.32;;615.8;;338.29;;518.8;;280.84;;184.77;;341.53
Station antérieure utilisée-Estimé;1956 - 57;444.97;;469.45;;410.03;;384.23;;596.61;;1551.43;;1351.94;;383.77;;272.19;;361.4;;317.97;;160.19;;552.26
Station antérieure utilisée-Estimé;1957 - 58;133.87;;143.68;;175;;267.68;;1011.13;;1103.39;;1371.45;;1147.33;;765.13;;655.57;;721.81;;305.71;;647.76
Station antérieure utilisée-Estimé;1958 - 59;340.27;;450.58;;991.9;;1603.87;;2041.94;;751.43;;584.52;;572.67;;819.03;;321.67;;181.13;;113.23;;732.76
Station antérieure utilisée-Estimé;1959 - 60;113.17;;130.65;;158.33;;501.45;;1230.48;;1191.9;;1379.84;;533.03;;275.68;;190.2;;174.23;;205.13;;506.09
Station antérieure utilisée-Estimé;1960 - 61;326.83;;1264.29;;1849.67;;1459.35;;2043.55;;1570.36;;533.87;;340.33;;302.58;;268.17;;169.52;;144.68;;851.98
Station antérieure utilisée-Estimé;1961 - 62;121.17;;150.16;;328;;839.68;;1430.32;;873.93;;1042.9;;1773.33;;825.81;;345;;179.35;;124.19;;668.11
Station antérieure utilisée-Estimé;1962 - 63;107.37;;105.32;;257;;504.68;;690.26;;723;;1209.68;;1320.5;;547.23;;633.03;;419;;475.58;;581.6
Station antérieure utilisée-Estimé;1963 - 64;362.1;;264.35;;666.57;;539.03;;315.48;;466.21;;978.87;;1273.67;;577.29;;459.13;;142.9;;103.81;;510.76
Station antérieure utilisée-Estimé;1964 - 65;108.6;;149.13;;171.87;;220.1;;617.68;;592.11;;697.94;;657.57;;853.84;;719.4;;224.29;;183;;431.85
Station antérieure utilisée-Estimé;1965 - 66;820.8;;855.81;;866.3;;2379.03;;2368.71;;2128.57;;1284.35;;1065.83;;896.61;;396.17;;255.65;;229.9;;1124.51
Station antérieure utilisée-Estimé;1966 - 67;164.63;;228;;614.53;;1624.19;;1369.19;;1017.5;;1118.39;;557.33;;434.39;;335.8;;201.97;;183.97;;653.76
Station antérieure utilisée-Estimé;1967 - 68;188.97;;209.55;;440.63;;673.35;;2204.84;;1320;;889.84;;739.5;;852.74;;580.93;;298.61;;295.32;;723.86
Station antérieure utilisée-Estimé;1968 - 69;624.13;;684.74;;666.67;;914.06;;1563.23;;1054.82;;1388.06;;808;;1230.97;;889.67;;452.65;;265.32;;878.52
Station antérieure utilisée-Estimé;1969 - 70;428.97;;257.42;;460.37;;1002.74;;1156.61;;2433.21;;1884.84;;1539;;933.55;;499.57;;363.48;;222.77;;921.73
Station antérieure utilisée-Estimé;1970 - 71;211.23;;251.94;;263.97;;340.84;;604.1;;1247.5;;790.16;;932.67;;882.26;;699.5;;346;;306.16;;567.99
Station antérieure utilisée-Estimé;1971 - 72;286.57;;209.87;;276.83;;415.68;;667.06;;1286.03;;895.97;;616.83;;455.29;;327.57;;208.52;;189.39;;483.13
Station antérieure utilisée-Estimé;1972 - 73;208.97;;180.1;;515.43;;726.61;;631.29;;1066.79;;755.16;;492.4;;496.13;;412.47;;225.81;;222.32;;490.71
Station antérieure utilisée-Estimé;1973 - 74;151.67;;284.94;;246.43;;751.45;;876.77;;1121.25;;1161.13;;716.1;;585.42;;323.23;;219.35;;128.42;;544.52
Station antérieure utilisée-Estimé;1974 - 75;193.57;;702.32;;979.17;;1226.45;;919.68;;1079.29;;849.35;;1138;;601.26;;479.97;;305.1;;171.35;;717.76
Station antérieure utilisée-Estimé;1975 - 76;349.23;;387.39;;648.73;;1022.74;;560.48;;1223.62;;589.19;;350.1;;308.58;;149.47;;101.44;;71.95;;477.34
Station antérieure utilisée-Estimé;1976 - 77;175.38;;338.26;;1581.17;;1788.71;;1084.03;;3195;;1353.55;;1173;;1508.87;;1617.67;;823.55;;1093.23;;1297.46
Station antérieure utilisée-Estimé;1977 - 78;701.23;;480.52;;604.07;;864.52;;1388.39;;2436.79;;2010.65;;1743.33;;1394.19;;605.17;;335.52;;288.61;;1061.58
Station antérieure utilisée-Estimé;1978 - 79;174.8;;154.61;;147.87;;237.42;;813.39;;2050.71;;1826.13;;1624.5;;1162.9;;929.67;;361.03;;253.97;;802.24
Station antérieure utilisée-Estimé;1979 - 80;245.47;;345.52;;785.83;;1167.39;;1659.03;Estimé;1874.83;Estimé;1609.35;Estimé;1026.17;Estimé;631.77;Estimé;491.83;Estimé;423.35;Estimé;219.06;Estimé;870.41
Station antérieure utilisée-Estimé;1980 - 81;275.63;Estimé;502.55;Estimé;654.13;Estimé;927.42;Estimé;2250.81;Estimé;1043.75;Estimé;1532.26;Estimé;1119.83;Estimé;1361.45;Estimé;1052.27;Estimé;657.39;Estimé;337.13;Estimé;977.86
Station antérieure utilisée-Estimé;1981 - 82;258.07;Estimé;647.9;Estimé;704.73;Estimé;2200.61;Estimé;2449.03;;1069.11;;1051.13;;872.53;;398.39;;293.73;;168.84;;175.39;;859.28
Station antérieure utilisée-Estimé;1982 - 83;151.6;;497.52;;588.63;;2506.45;;1169.35;;1129.46;;1335.65;;2286;;2732.26;;786.8;;414.55;;287.71;;1159.63
Station antérieure utilisée-Estimé;1983 - 84;389.17;;269.48;;271.53;;566.68;;1175.32;;1573.97;;602.16;;648.03;;475.68;;857.73;;256.23;;205.84;;603.09
Station antérieure utilisée-Estimé;1984 - 85;303.13;;803.23;;1181.1;;1271.61;;969.03;;1702.5;;961.45;;1027.33;;1757.9;;664.17;;353.23;;227.9;;930.46
Station antérieure utilisée-Estimé;1985 - 86;179.5;;149.68;;184.47;;192.29;;700.39;;753.61;;1028.55;;2142.67;;1511.45;;636.77;;238.84;;179.16;;655.93
Station antérieure utilisée-Estimé;1986 - 87;221.67;;241.45;;379.5;;616.87;;958.71;Estimé;1185.18;Estimé;797.58;Estimé;990.33;Estimé;548.06;Estimé;649.73;Estimé;444.23;Estimé;261.23;Estimé;603.65
Station antérieure utilisée-Estimé;1987 - 88;222.5;Estimé;530.74;Estimé;794.8;Estimé;1067.9;Estimé;1826.61;Estimé;2717.59;Estimé;1859.03;Estimé;1231.5;Estimé;1351.45;Estimé;851.87;Estimé;470.61;Estimé;202.48;Estimé;1088.54
Station antérieure utilisée;1988 - 89;187.7;Estimé;345.29;Estimé;240.87;Estimé;586.9;Estimé;378.39;Estimé;277.21;Estimé;554.74;Estimé;826.3;Estimé;725.16;Estimé;228.93;Estimé;159.94;Estimé;120.9;Estimé;387.09
;1989 - 90;120.2;Estimé;123.26;Estimé;165.57;Estimé;196.35;Estimé;184.45;Estimé;1050.54;Estimé;515.19;Estimé;349.27;Estimé;351.61;Estimé;284.87;Estimé;245.87;Estimé;95.66;Estimé;301.63
;1990 - 91;94.93;Estimé;106.89;Estimé;383.97;Estimé;468.32;Estimé;961.77;Estimé;517.14;Estimé;663.06;Estimé;424.1;Estimé;302.77;Estimé;190.03;Estimé;126.87;Estimé;106.02;Estimé;361.86
;1991 - 92;97.03;Estimé;158.32;Estimé;381.5;Estimé;324.19;Estimé;260.03;Estimé;286.62;Estimé;255.1;Estimé;594.53;Estimé;269.23;Estimé;827.7;Estimé;493.19;Estimé;167.29;Estimé;341.76
;1992 - 93;194.77;Estimé;578.06;Estimé;1409.17;Estimé;1469.68;Estimé;514.64;;351.3;;242.4;;287.12;;455.62;;379.64;;270.53;;106.63;Estimé;522.53
;1993 - 94;296.23;Estimé;1145.48;Estimé;513.7;Estimé;1244.39;Estimé;2798.71;;1933.63;;1025.18;;1193.13;;843.42;;545.48;;289.53;;220.86;;1000.53
;1994 - 95;386.64;;655;;1471.37;;807.93;;1883.2;;2079.43;;1938.43;;787.67;;708.95;;399.29;;231.94;;159.82;;952.1
;1995 - 96;272.59;;276.46;;264.98;;582.75;;1618.98;;1230.21;;819.44;;512.78;;474.14;;337.67;;213.66;;133.77;;560.14
;1996 - 97;140.08;;175.31;;550;;1408.47;;888.57;;897.88;;604.54;;258.98;;335.6;;195.4;;314.53;;159.3;;493.01
;1997 - 98;172.55;;156.34;;362.3;;603.33;;1355.43;;597.26;;555.15;;1134.22;;1205.34;;387.17;;191.43;;129.97;;571.28
;1998 - 99;162.79;;297.01;;480.69;;607.67;;900.81;;1700.54;;1378.49;;728.08;;748.17;;385.88;;212.81;;190.25;;643.1
;1999 - 00;204.24;;387.11;;591.63;;1319.52;;1371.16;;1074.75;;981.97;;928.67;;767.31;;450.97;;328.42;;229.11;;719.55
;2000 - 01;220.63;;446.86;;1127.75;;1185.32;;1227.06;;1066.79;;1987.11;;1408.91;;2138.09;;514.34;;472.24;;273.91;;1007.31
;2001 - 02;269.1;;422.09;;397.88;;495.46;;631.76;;808.63;;878.89;;383.52;;351.91;;395.4;;202.97;;201.9;;451.38
;2002 - 03;302.27;;278.68;;962;;1462.07;;1658.89;;1731.87;;805.23;;374.99;;427.49;;230.66;;151.56;;115.25;Estimé;702.64
;2003 - 04;135.75;;159.01;;318.2;;1215.58;;2283.65;;1202.57;;956.21;;753.3;;726.2;;254.89;;180.38;;305.76;;708.66
;2004 - 05;246.12;;235.39;;643.85;;571.44;;909.92;;989.9;;756.94;;1158.19;;625.77;;250.44;;173.13;;131.5;;553.98
;2005 - 06;148.58;;143.24;;197.58;;290.68;;457.85;;731.85;;1614.48;;1209.97;;501.58;;216.77;;158.46;;140.83;;482.74
;2006 - 07;207.2;;382.96;;358.97;;642.3;;778.18;;1236.96;;1656.21;;609.57;;405.27;;644.26;;502.98;;381.95;;647.89
;2007 - 08;316.8;;364.21;;280.85;;726.26;;1064.73;;705.58;;884.91;;1377.38;;893.49;;1172.92;;425.5;;244.2;;703.83
;2008 - 09;253.62;;256.74;;923.74;;1086.19;;961.22;;1071.72;;613.16;;517.8;;622.8;;304.22;;198.54;;142.73;;576.2
;2009 - 10;158.95;;140.83;;226.75;;446.48;;920.12;;968.68;;887.24;;800.16;;572.89;;690.69;;314.24;;189.94;;523.41
;2010 - 11;220.43;;219.24;;642.5;;1350.3;;967.52;;485.63;;526.7;;352.26;;177.38;;136.91;Estimé;128.8;Estimé;132.97;Estimé;445.89
;2011 - 12;149.08;Estimé;116.65;Estimé;244.15;;802.14;;1337.88;;574.34;;412.76;;482.44;;948.69;;589.99;;293.68;;142.98;;509.08
;2012 - 13;154.41;;281.51;;469.39;;1276.99;;1402.69;;1985.85;;1024.5;;1181.66;;1697.81;;935.79;;337.48;;320;;916.2
;2013 - 14;255.16;;351.08;;1086.11;;790.75;;1426.04;;1896.16;;1160.47;;485.36;;485.5;;284.95;;365.17;;484.16;;749.04
;2014 - 15;262.82;;423.94;;802.04;;902.83;;1010.79;;1243.54;;1066.53;;646.32;;792.38;;260.77;;135.45;;128.1;;636.27
;2015 - 16;186.03;;177.98;;188.6;;206.13;;689.63;;1567.99;;1200.58;;1161.98;;825.82;;1793.74;;362.68;;191.05;;706.7
Provisoire;2016 - 17;175.42;;176.86;;443.57;;455.83;;342.6;;663.42;;970.82;;447.39;;399.57;;233.2;;164.94;;126.1;Reconstitué bon;381.65
Provisoire;2017 - 18;145.01;;134.7;;153.73;;527.42;;2110.54;;1751.63;;1315.65;;944.41;;614.62;;697.64;;237.24;;139.04;;725.27
Provisoire;2018 - 19;131.76;;128.67;;235.17;;411.38;;336.93;;664.94;;464.37;;263.69;;;;;;;;;;



Tableau des moyennes inter annuelles

;Sept.;Validité;Oct.;Validité;Nov.;Validité;Déc.;Validité;Janv.;Validité;Fév.;Validité;Mars;Validité;Avril;Validité;Mai;Validité;Juin;Validité;Juil.;Validité;Août;Validité;Moy/Total
Moyenne;224.84;;325.77;;615.57;;900.94;;1154.93;;1220.92;;1054.58;;890.61;;746.92;;503.85;;294.24;;209.97;;675.82
Nb valeurs;103;;103;;103;;103;;103;;103;;103;;103;;102;;102;;102;;102;;102.67

Stations antérieures utilisées;
Station;Producteur;BV (km²);Altitude (m);Utilisée du;au;
L8000020L8000010 La Loire à Montsoreau;DREAL Centre;81100;26;01/09/1916;01/12/1988;
